Order,Family,IUCN_name,IUCN_Status,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Habitat_breadth,Population density_IndKm2
Primates,Atelidae,alouatta caraya,NT,2,14,920,426,-20.490151,-54.80721,Brazil,0.000931313,0.001356923,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,90,610,-25.54553,-48.78396,Brazil,0.006648452,0.009686795,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.009812883,0.014297371,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,70,214,-20.187971,-54.806624,Brazil,0.024365821,0.035501001,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.015873016,0.023126984,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1,28,802,396,-17.859419,-51.730303,Brazil,0.00344782,0.005023474,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,1,28,280,365,-15.159661,-56.55916,Brazil,0.007142857,0.010407143,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta caraya,NT,4,7,115,365,-11.904988,-48.737133,Brazil,0.008695652,0.012669565,5576.96,0.0195,26.32916667,1215.19918,8.9,1,1.005,1,2,1,11.2
Primates,Atelidae,alouatta palliata,VU,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.042149631,0.061412012,6576.99,0.19,22,1287.4428,13.1,1,1.01,0.6,2,1,22.295
Primates,Atelidae,alouatta seniculus,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,0.044865649,0.065369251,6398.31,0.1,25,1672.76256,7.9,1,1.2,0.815,2,2,30
Carnivora,Procyonidae,bassariscus astutus,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.015303571,1010.37,0.74,16,300,,2,3,1,3,7,
Pilosa,Bradypodidae,bradypus tridactylus,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00895332,0.013044987,4072.9,2.5,25.82083333,601.59454,1,2,1,1,1,1,
Pilosa,Bradypodidae,bradypus variegatus,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.031612223,0.046059009,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.025156254,0.03008688,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.015345806,0.022358839,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,8,3.5,38.92,92,9.245341,-79.64701,Panama,0.407748335,0.594089324,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
Pilosa,Bradypodidae,bradypus variegatus,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00895332,0.013044987,4136.36,0.01,3.241666667,1138.91512,1,2,1,1.05,1,1,650
